,Month,Firefox,Safari,Google Chrome,Internet Explorer,Opera
103,2012-08-01,42,6,53,14,17
104,2012-09-01,43,5,50,16,17
105,2012-10-01,41,5,48,14,15
106,2012-11-01,39,5,48,13,16
107,2012-12-01,37,5,48,12,17
108,2013-01-01,38,5,48,13,16
109,2013-02-01,37,5,49,13,17
110,2013-03-01,35,4,47,13,17
111,2013-04-01,34,4,46,13,17
112,2013-05-01,32,4,43,12,16
113,2013-06-01,32,4,44,12,16
114,2013-07-01,34,4,45,12,17
115,2013-08-01,32,4,47,11,17
116,2013-09-01,32,5,47,11,16
117,2013-10-01,33,5,49,12,16
118,2013-11-01,33,5,45,13,16
119,2013-12-01,31,4,44,12,16
120,2014-01-01,31,5,48,12,16
121,2014-02-01,31,4,47,12,15
122,2014-03-01,30,4,46,10,15
123,2014-04-01,31,4,47,12,14
124,2014-05-01,31,4,45,11,14
125,2014-06-01,29,4,44,10,15
126,2014-07-01,27,4,44,9,15
127,2014-08-01,28,4,46,9,15
128,2014-09-01,30,5,48,9,14
129,2014-10-01,28,5,46,10,14
130,2014-11-01,28,5,45,9,14
131,2014-12-01,29,5,48,9,13
132,2015-01-01,27,4,48,9,13
133,2015-02-01,26,4,45,9,12
134,2015-03-01,25,4,42,8,11
135,2015-04-01,25,4,47,8,12
136,2015-05-01,24,4,46,7,11
137,2015-06-01,24,4,43,8,11
138,2015-07-01,24,4,44,8,10
139,2015-08-01,24,4,43,8,10
140,2015-09-01,23,4,41,7,10
141,2015-10-01,22,4,40,7,9
142,2015-11-01,21,4,38,6,9
143,2015-12-01,20,4,37,6,8
144,2016-01-01,14,4,27,5,7
145,2016-02-01,14,3,28,5,6
146,2016-03-01,12,4,27,5,6
147,2016-04-01,12,3,26,5,6
148,2016-05-01,12,3,27,4,6
149,2016-06-01,11,3,27,4,5
150,2016-07-01,10,3,23,4,5
151,2016-08-01,11,3,24,4,5
152,2016-09-01,11,3,27,4,6
153,2016-10-01,11,3,27,4,5
154,2016-11-01,10,3,26,4,5
155,2016-12-01,10,3,26,4,5
156,2017-01-01,10,3,27,4,5
157,2017-02-01,10,3,27,4,5
158,2017-03-01,11,3,26,4,4
159,2017-04-01,10,3,26,4,5
160,2017-05-01,9,3,27,4,6
161,2017-06-01,9,3,23,4,5
162,2017-07-01,8,3,23,4,5
163,2017-08-01,10,3,26,4,4
164,2017-09-01,10,3,25,4,4
165,2017-10-01,10,3,25,4,4
166,2017-11-01,13,3,25,3,4
167,2017-12-01,10,3,24,3,4
168,2018-01-01,10,3,24,3,4
169,2018-02-01,9,3,24,3,4
170,2018-03-01,9,3,24,3,4
171,2018-04-01,8,3,22,3,4
172,2018-05-01,8,3,23,3,3
173,2018-06-01,7,2,22,3,3
174,2018-07-01,7,2,20,3,3
175,2018-08-01,7,2,21,3,3
176,2018-09-01,7,3,25,3,3
177,2018-10-01,7,3,23,3,3
178,2018-11-01,7,2,22,3,3
179,2018-12-01,7,3,22,2,3
180,2019-01-01,7,2,21,3,3
181,2019-02-01,7,2,22,2,3
182,2019-03-01,6,2,21,2,3
183,2019-04-01,6,2,21,3,3
184,2019-05-01,7,2,21,2,3
185,2019-06-01,6,2,21,2,3
186,2019-07-01,6,2,20,2,3
187,2019-08-01,6,2,21,2,3
188,2019-09-01,6,3,23,2,3
189,2019-10-01,6,3,22,2,3
190,2019-11-01,6,3,22,2,3
191,2019-12-01,6,2,20,2,3
192,2020-01-01,6,2,21,2,3
193,2020-02-01,6,2,23,2,3
194,2020-03-01,6,3,26,2,3
195,2020-04-01,7,3,29,2,3
196,2020-05-01,6,3,26,2,3
197,2020-06-01,6,3,23,2,3
198,2020-07-01,6,3,23,2,3
199,2020-08-01,6,3,25,2,3
200,2020-09-01,6,3,27,2,3
201,2020-10-01,5,3,22,2,3
